Pallet: "balances", Extrinsic: "set_balance", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
u,e,extrinsic_time,storage_root_time
1,1000,377000,127000
1,1000,161000,115000
1,1000,359000,109000
1,1000,358000,108000
1,1000,316000,109000
1,1000,409000,129000
1,1000,428000,128000
1,1000,360000,110000
1,1000,371000,117000
1,1000,422000,127000
1,1000,416000,139000
1,1000,365000,7172000
1,1000,380000,117000
1,1000,157000,11133000
1,1000,371000,125000
1,1000,360000,109000
1,1000,177000,140000
1,1000,360000,107000
1,1000,381000,116000
1,1000,359000,107000
50,1000,139000,97000
50,1000,356000,97000
50,1000,353000,99000
50,1000,398000,120000
50,1000,374000,110000
50,1000,422000,122000
50,1000,351000,97000
50,1000,142000,96000
50,1000,388000,133000
50,1000,143000,96000
50,1000,143000,98000
50,1000,339000,95000
50,1000,143000,97000
50,1000,357000,97000
50,1000,11729000,122000
50,1000,411000,117000
50,1000,366000,111000
50,1000,144000,98000
50,1000,353000,99000
50,1000,143000,98000
99,1000,408000,130000
99,1000,369000,131000
99,1000,311000,106000
99,1000,359000,107000
99,1000,144000,104000
99,1000,156000,107000
99,1000,19530000,139000
99,1000,154000,107000
99,1000,398000,133000
99,1000,152000,108000
99,1000,355000,109000
99,1000,403000,123000
99,1000,412000,128000
99,1000,151000,107000
99,1000,352000,108000
99,1000,144000,103000
99,1000,382000,130000
99,1000,233000,148000
99,1000,164000,106000
99,1000,416000,130000
148,1000,340000,104000
148,1000,147000,107000
148,1000,357000,115000
148,1000,334000,105000
148,1000,387000,125000
148,1000,414000,129000
148,1000,355000,107000
148,1000,144000,107000
148,1000,369000,123000
148,1000,328000,104000
148,1000,355000,108000
148,1000,400000,130000
148,1000,363000,129000
148,1000,340000,113000
148,1000,341000,18146000
148,1000,414000,144000
148,1000,144000,104000
148,1000,410000,129000
148,1000,576000,144000
148,1000,392000,114000
197,1000,141000,105000
197,1000,407000,130000
197,1000,393000,139000
197,1000,339000,105000
197,1000,365000,113000
197,1000,417000,131000
197,1000,406000,138000
197,1000,384000,123000
197,1000,337000,107000
197,1000,348000,109000
197,1000,353000,106000
197,1000,414000,130000
197,1000,142000,103000
197,1000,404000,124000
197,1000,139000,105000
197,1000,401000,128000
197,1000,417000,8987000
197,1000,358000,108000
197,1000,379000,125000
197,1000,370000,108000
246,1000,409000,128000
246,1000,148000,107000
246,1000,145000,104000
246,1000,346000,106000
246,1000,189000,128000
246,1000,145000,104000
246,1000,360000,107000
246,1000,413000,130000
246,1000,149000,104000
246,1000,147000,108000
246,1000,375000,119000
246,1000,150000,106000
246,1000,420000,133000
246,1000,143000,107000
246,1000,147000,105000
246,1000,353000,108000
246,1000,145000,105000
246,1000,338000,105000
246,1000,417000,126000
246,1000,145000,104000
295,1000,413000,115000
295,1000,151000,98000
295,1000,148000,13532000
295,1000,364000,103000
295,1000,415000,118000
295,1000,145000,100000
295,1000,347000,95000
295,1000,400000,109000
295,1000,357000,98000
295,1000,378000,113000
295,1000,377000,117000
295,1000,365000,106000
295,1000,392000,118000
295,1000,4824000,107000
295,1000,381000,111000
295,1000,389000,126000
295,1000,361000,102000
295,1000,355000,97000
295,1000,350000,99000
295,1000,359000,102000
344,1000,410000,136000
344,1000,409000,132000
344,1000,359000,108000
344,1000,150000,105000
344,1000,362000,107000
344,1000,342000,107000
344,1000,151000,111000
344,1000,359000,113000
344,1000,375000,127000
344,1000,355000,112000
344,1000,400000,126000
344,1000,357000,107000
344,1000,171000,125000
344,1000,387000,125000
344,1000,146000,106000
344,1000,418000,145000
344,1000,412000,143000
344,1000,351000,114000
344,1000,6439000,109000
344,1000,157000,3961000
393,1000,409000,123000
393,1000,145000,97000
393,1000,355000,99000
393,1000,382000,107000
393,1000,143000,97000
393,1000,409000,119000
393,1000,216000,131000
393,1000,383000,118000
393,1000,142000,98000
393,1000,226000,137000
393,1000,426000,121000
393,1000,358000,101000
393,1000,149000,100000
393,1000,412000,118000
393,1000,362000,101000
393,1000,148000,100000
393,1000,363000,102000
393,1000,468000,135000
393,1000,355000,96000
393,1000,356000,116000
442,1000,378000,106000
442,1000,17709000,127000
442,1000,8478000,103000
442,1000,360000,99000
442,1000,12150000,115000
442,1000,411000,119000
442,1000,146000,99000
442,1000,341000,101000
442,1000,407000,118000
442,1000,479000,136000
442,1000,427000,117000
442,1000,149000,98000
442,1000,375000,131000
442,1000,147000,101000
442,1000,382000,103000
442,1000,444000,121000
442,1000,411000,118000
442,1000,150000,100000
442,1000,298000,96000
442,1000,340000,97000
491,1000,396000,122000
491,1000,389000,128000
491,1000,378000,143000
491,1000,245000,163000
491,1000,392000,123000
491,1000,414000,122000
491,1000,328000,109000
491,1000,164000,113000
491,1000,362000,107000
491,1000,401000,128000
491,1000,391000,125000
491,1000,378000,123000
491,1000,151000,108000
491,1000,149000,106000
491,1000,350000,107000
491,1000,157000,110000
491,1000,152000,106000
491,1000,152000,14576000
491,1000,294000,109000
491,1000,149000,107000
540,1000,415000,131000
540,1000,142000,106000
540,1000,374000,115000
540,1000,151000,109000
540,1000,389000,145000
540,1000,141000,104000
540,1000,415000,134000
540,1000,145000,105000
540,1000,359000,115000
540,1000,344000,114000
540,1000,352000,108000
540,1000,365000,106000
540,1000,401000,127000
540,1000,376000,127000
540,1000,143000,106000
540,1000,428000,128000
540,1000,336000,106000
540,1000,313000,105000
540,1000,358000,107000
540,1000,403000,120000
589,1000,354000,107000
589,1000,403000,127000
589,1000,297000,108000
589,1000,407000,130000
589,1000,147000,111000
589,1000,314000,109000
589,1000,350000,111000
589,1000,148000,103000
589,1000,383000,130000
589,1000,149000,107000
589,1000,155000,107000
589,1000,382000,123000
589,1000,426000,126000
589,1000,156000,108000
