Pallet: "balances", Extrinsic: "transfer", Lowest values: [], Highest values: [], Steps: [20], Repeat: 20
u,e,extrinsic_time,storage_root_time
1,1000,699000,190000
1,1000,634000,145000
1,1000,657000,142000
1,1000,672000,141000
1,1000,426000,143000
1,1000,735000,165000
1,1000,511000,162000
1,1000,719000,169000
1,1000,440000,144000
1,1000,763000,176000
1,1000,663000,156000
1,1000,742000,11614000
1,1000,736000,180000
1,1000,7815000,212000
1,1000,767000,172000
1,1000,16850000,178000
1,1000,677000,172000
1,1000,721000,170000
1,1000,413000,143000
1,1000,720000,163000
50,1000,717000,160000
50,1000,611000,130000
50,1000,470000,193000
50,1000,394000,133000
50,1000,661000,142000
50,1000,626000,137000
50,1000,717000,153000
50,1000,614000,137000
50,1000,21825000,163000
50,1000,732000,181000
50,1000,496000,159000
50,1000,704000,151000
50,1000,658000,140000
50,1000,720000,156000
50,1000,460000,149000
50,1000,725000,160000
50,1000,704000,158000
50,1000,725000,156000
50,1000,717000,160000
50,1000,14580000,171000
99,1000,600000,7727000
99,1000,786000,171000
99,1000,661000,143000
99,1000,732000,170000
99,1000,665000,144000
99,1000,766000,173000
99,1000,766000,172000
99,1000,780000,173000
99,1000,523000,165000
99,1000,762000,173000
99,1000,720000,174000
99,1000,700000,166000
99,1000,745000,177000
99,1000,789000,176000
99,1000,797000,174000
99,1000,438000,139000
99,1000,19547000,182000
99,1000,750000,167000
99,1000,768000,170000
99,1000,458000,160000
148,1000,724000,165000
148,1000,619000,155000
148,1000,740000,173000
148,1000,952000,187000
148,1000,13602000,380000
148,1000,637000,136000
148,1000,6961000,436000
148,1000,11124000,472000
148,1000,404000,141000
148,1000,694000,163000
148,1000,671000,156000
148,1000,726000,160000
148,1000,669000,149000
148,1000,435000,135000
148,1000,399000,137000
148,1000,502000,161000
148,1000,720000,163000
148,1000,723000,163000
148,1000,683000,174000
148,1000,746000,11328000
197,1000,10443000,168000
197,1000,738000,155000
197,1000,751000,10329000
197,1000,403000,133000
197,1000,706000,160000
197,1000,413000,134000
197,1000,615000,131000
197,1000,686000,160000
197,1000,717000,148000
197,1000,714000,159000
197,1000,680000,159000
197,1000,725000,161000
197,1000,676000,158000
197,1000,716000,13703000
197,1000,695000,182000
197,1000,467000,165000
197,1000,5626000,151000
197,1000,405000,134000
197,1000,868000,189000
197,1000,662000,154000
246,1000,425000,136000
246,1000,410000,139000
246,1000,705000,161000
246,1000,436000,155000
246,1000,716000,166000
246,1000,673000,161000
246,1000,423000,141000
246,1000,742000,168000
246,1000,497000,172000
246,1000,415000,141000
246,1000,705000,186000
246,1000,644000,136000
246,1000,435000,136000
246,1000,950000,188000
246,1000,717000,165000
246,1000,622000,138000
246,1000,429000,139000
246,1000,647000,139000
