Pallet: "claims", Extrinsic: "claim", Lowest values: [], Highest values: [], Steps: [100], Repeat: 100
u,extrinsic_time,storage_root_time
0,30474000,6754000
0,28154000,6684000
0,28998000,6640000
0,28084000,8472000
0,30483000,6794000
0,29728000,6711000
0,29900000,6642000
0,28091000,6619000
0,29655000,8284000
0,38547000,8642000
0,34061000,7116000
0,32628000,6781000
0,29370000,6766000
0,28596000,6828000
0,28181000,6669000
0,29822000,7881000
0,34383000,7847000
0,36000000,8283000
0,32610000,7142000
0,30318000,7001000
0,30745000,7406000
0,29932000,6783000
0,29209000,6784000
0,29867000,6900000
0,29374000,8128000
0,32203000,7235000
0,31394000,7183000
0,28653000,6816000
0,28587000,6803000
0,27948000,6639000
0,28728000,6888000
0,34516000,8489000
0,33621000,8349000
0,34677000,6838000
0,29067000,6769000
0,28527000,6748000
0,28010000,6650000
0,28588000,6766000
0,28396000,6798000
0,29567000,6639000
0,27972000,6668000
0,30268000,6620000
0,27948000,6635000
0,28362000,6873000
0,31471000,7045000
0,31385000,7017000
0,30720000,6852000
0,29975000,6822000
0,28703000,6885000
0,28269000,6618000
0,30350000,6774000
0,29560000,6973000
0,29905000,6770000
0,28788000,6823000
0,30228000,6919000
0,30344000,6864000
0,31253000,7134000
0,35566000,8678000
0,33824000,6779000
0,32763000,6795000
0,32094000,7109000
0,30543000,6928000
0,28594000,6799000
0,28575000,6771000
0,28569000,6643000
0,29025000,7022000
0,37517000,8877000
0,39400000,8842000
0,45166000,10859000
0,47581000,11218000
0,36001000,9393000
0,39536000,8494000
0,38693000,8897000
0,36489000,8914000
0,36894000,8687000
0,37855000,9535000
0,37015000,8635000
0,36590000,8896000
0,36576000,8282000
0,36778000,8989000
0,37240000,9187000
0,38011000,9000000
0,36913000,9101000
0,38296000,9696000
0,37984000,9762000
0,44372000,10529000
0,42135000,9657000
0,32562000,6769000
0,30088000,8955000
0,38191000,8672000
0,37434000,8378000
0,37901000,9722000
0,37777000,8793000
0,37589000,8939000
0,37704000,8871000
0,37628000,8615000
0,37234000,9160000
0,38077000,9150000
0,32827000,6836000
0,29909000,6912000
10,34257000,6934000
10,28143000,5896000
10,29043000,5895000
10,27723000,5883000
10,27842000,5873000
10,27843000,5915000
10,27459000,5785000
10,27720000,5826000
10,29382000,5826000
10,29521000,5761000
10,28025000,5873000
10,33555000,7107000
10,33500000,7160000
10,32609000,5898000
10,27752000,5814000
10,27860000,5938000
10,27868000,5888000
10,27825000,5877000
10,27929000,5890000
10,30158000,5793000
10,29195000,5896000
10,27828000,5822000
10,28372000,7842000
10,28302000,5876000
10,27906000,5847000
10,29427000,5811000
10,27853000,5897000
10,28626000,6386000
10,29445000,5882000
10,27881000,5879000
10,28477000,5972000
10,27827000,5903000
10,28249000,5916000
10,28522000,5828000
10,27596000,5810000
10,27186000,5726000
10,27549000,5936000
10,27539000,5836000
10,27509000,5858000
10,27699000,5809000
10,30810000,5715000
10,27756000,5746000
10,28938000,5710000
10,27149000,5688000
10,26883000,5716000
10,29659000,5687000
10,26924000,5941000
10,27004000,5683000
10,27757000,5861000
10,27484000,5703000
10,28852000,5729000
10,27649000,5726000
10,30609000,6137000
10,27461000,5809000
10,27963000,5859000
10,27730000,5846000
10,27930000,5814000
10,28151000,5688000
10,27399000,5815000
10,27429000,5814000
10,27952000,5686000
10,27658000,5838000
10,27802000,6874000
10,27644000,5828000
10,31141000,5811000
10,28538000,6070000
10,28741000,5821000
10,27791000,7194000
10,29310000,5964000
10,27871000,5824000
10,28111000,5831000
10,29437000,5819000
10,28162000,5842000
10,27880000,6076000
10,28504000,5813000
10,28664000,5824000
10,29319000,5865000
10,27965000,5829000
10,27674000,6082000
10,26968000,11216000
10,28546000,6000000
10,29022000,5694000
10,29685000,5731000
10,29598000,5821000
10,30220000,5738000
10,28251000,5730000
10,27387000,6232000
10,27621000,5827000
10,28175000,5821000
10,28081000,5725000
10,27526000,5825000
10,27842000,6211000
10,28282000,5822000
10,28292000,5834000
10,29630000,5821000
10,27694000,5898000
10,27681000,6156000
10,27906000,6434000
10,28069000,5942000
10,29720000,6073000
20,48100000,9435000
20,48211000,8557000
20,47528000,9222000
20,50337000,8516000
20,47882000,8553000
20,47003000,8550000
20,49789000,8500000
20,47129000,11008000
20,49546000,8706000
20,46497000,8498000
20,47200000,8553000
20,47757000,8540000
20,46880000,8549000
20,47401000,8603000
20,46557000,8480000
20,46010000,8301000
20,45734000,8484000
20,47817000,8685000
20,46929000,8542000
